CustomerID,Total_Revenue,Total_Orders,Total_Quantity,Segment
12346,174.98174,1,3,Low Value
12347,12090.2958,31,342,High Value
12348,1501.9261999999999,8,209,Medium Value
12350,1183.71394,11,21,Medium Value
12356,1753.45086,13,56,Medium Value
12359,653.19048,3,86,Low Value
12370,6749.99632,44,613,High Value
12373,471.83844,5,22,Low Value
12377,9848.12188,37,421,High Value
12383,5478.60846,39,185,High Value
12386,568.05386,6,15,Low Value
12388,677.73101,10,25,Low Value
12393,2144.3302400000002,13,119,Medium Value
12395,1443.00892,14,61,Medium Value
12402,601.69168,6,17,Low Value
12410,2038.1240899999998,14,67,Medium Value
12413,3209.8934600000002,10,259,High Value
12414,507.98875999999996,6,7,Low Value
12415,3129.8837700000004,24,169,High Value
12417,1824.5462400000001,15,157,Medium Value
12421,2043.2641400000002,6,17,Medium Value
12422,880.61536,9,101,Low Value
12423,871.1811500000001,8,17,Low Value
12427,1402.55048,3,170,Medium Value
12429,2732.5487300000004,10,133,Medium Value
12431,5476.40002,32,57,High Value
12433,17857.37756,55,1494,High Value
12434,46.812799999999996,1,15,Low Value
12437,2022.72387,14,26,Medium Value
12441,1421.45868,11,16,Medium Value
12451,8754.81471,57,799,High Value
12464,1001.7007100000001,6,10,Medium Value
12468,1299.1330400000002,7,26,Medium Value
12471,13542.74803,70,279,High Value
12472,12298.07142,67,508,High Value
12474,6480.726960000001,27,225,High Value
12476,3065.7745600000003,13,302,High Value
12477,204.11645,2,2,Low Value
12480,1411.8764800000001,14,51,Medium Value
12481,10322.959840000001,13,757,High Value
12483,1066.8181200000001,6,27,Medium Value
12484,5876.48384,35,434,High Value
12489,842.08664,6,48,Low Value
12490,2804.22992,22,61,Medium Value
12494,394.76707000000005,5,9,Low Value
12500,92.07744,3,5,Low Value
12501,10154.78088,71,606,High Value
12502,4145.86187,21,117,High Value
12503,16.04535,1,1,Low Value
12510,1277.88055,12,216,Medium Value
12515,1434.14628,4,95,Medium Value
12523,509.0009600000001,3,28,Low Value
12524,588.4200000000001,5,23,Low Value
12527,1409.50234,6,424,Medium Value
12528,4169.27512,22,96,High Value
12530,1299.05472,8,86,Medium Value
12539,18009.36328,100,486,High Value
